Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
82,100.066,2.098,30.27,16.449,0.908,0.999,09/14/24-16:37:09
83,100.08,1.646,24.207,12.029,3.25,0.999,09/14/24-16:39:19
84,100.077,3.226,30.428,17.392,0.922,0.999,09/14/24-16:41:29
85,100.087,2.968,32.328,18.134,1.096,0.999,09/14/24-16:43:39
86,100.074,2.285,29.175,14.243,0.896,0.999,09/14/24-16:45:49
87,100.077,3.308,30.342,18.549,1.285,0.999,09/14/24-16:47:59
88,100.077,1.84,24.302,12.315,3.815,0.999,09/14/24-16:50:09
89,100.076,1.542,32.078,16.36,3.53,0.999,09/14/24-16:52:20
90,100.073,3.353,34.079,17.343,0.951,0.999,09/14/24-16:54:30
91,100.074,2.278,29.989,14.224,3.84,0.999,09/14/24-16:56:40
92,100.068,1.216,24.744,13.041,0.905,0.999,09/14/24-16:58:50
93,100.074,4.433,30.433,17.485,1.056,0.999,09/14/24-17:01:00
94,100.08,2.992,29.804,18.102,1.165,0.999,09/14/24-17:03:10
95,100.08,2.134,30.39,16.935,0.927,0.999,09/14/24-17:05:20
96,100.078,2.274,30.285,17.262,1.129,0.999,09/14/24-17:07:31
97,100.083,3.983,30.725,17.81,1.208,0.999,09/14/24-17:09:41
98,100.078,3.52,28.313,15.906,0.886,0.999,09/14/24-17:11:51
99,100.081,5.882,30.578,18.63,1.3,0.999,09/14/24-17:14:01
100,100.083,1.551,29.136,17.624,1.06,0.999,09/14/24-17:16:11
101,100.066,1.666,26.647,14.254,1.999,0.999,09/14/24-17:18:21
102,100.07,1.849,29.994,14.953,0.657,0.999,09/14/24-17:20:31
103,100.076,4.163,30.556,18.722,1.256,0.999,09/14/24-17:22:41
104,100.073,2.978,30.993,18.924,1.055,0.999,09/14/24-17:24:52
105,100.079,1.963,29.602,16.877,1.035,0.999,09/14/24-17:27:02
106,100.074,2.656,29.319,17.758,1.15,0.999,09/14/24-17:29:12
107,100.07,3.525,29.608,17.527,1.076,0.999,09/14/24-17:31:22
108,100.078,1.649,26.662,14.261,4.202,0.999,09/14/24-17:33:32
109,100.071,2.136,30.389,17.8,1.358,0.999,09/14/24-17:35:42
110,100.083,2.654,29.453,18.988,1.226,0.999,09/14/24-17:37:52
111,100.074,2.576,34.433,17.028,1.059,0.999,09/14/24-17:40:02
112,100.085,2.206,38.238,17.636,1.249,0.999,09/14/24-17:42:13
113,100.074,2.177,29.392,16.969,0.807,0.999,09/14/24-17:44:23
114,100.076,5.586,31.636,18.65,1.201,0.999,09/14/24-17:46:33
